
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SA7-530-200	3	ON External	20.000	OFF	1013	35.000	10%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-535-194	3	OFF	14.200	OFF	1013	0.000	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	53.000	20.000	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Ch 4	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	53.500	19.400	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Data	Smoothing:	3	
Date:	20.03.2017	
			 	Oxygen			Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
20.03.2017	22:29:15	0.00		---	---	---	---	17.276	---	---	14.200	1001.96	50.287	17.276	---	---	55.475	---	---	173.506	0.037	---	---	2.424	3.633	---	---	4.672	
20.03.2017	22:29:16	1.00		---	---	---	---	17.273	---	---	14.200	1001.96	50.335	17.273	---	---	57.645	---	---	173.335	0.039	---	---	2.429	3.629	---	---	4.649	
20.03.2017	22:29:17	2.00		---	---	---	---	17.298	---	---	14.200	1001.94	50.383	17.298	---	---	72.327	---	---	173.119	0.050	---	---	2.423	3.615	---	---	4.657	
20.03.2017	22:29:18	3.00		---	---	---	---	17.329	---	---	14.200	1001.91	50.414	17.329	---	---	83.780	---	---	172.884	0.053	---	---	2.415	3.618	---	---	4.655	
20.03.2017	22:29:19	4.00		---	---	---	---	17.374	---	---	14.200	1001.91	50.442	17.374	---	---	71.958	---	---	173.092	0.044	---	---	2.415	3.613	---	---	4.663	
20.03.2017	22:29:20	5.00		---	---	---	---	17.404	---	---	14.200	1001.95	50.442	17.404	---	---	63.102	---	---	173.136	0.037	---	---	2.409	3.614	---	---	4.669	
20.03.2017	22:29:21	6.00		---	---	---	---	17.439	---	---	14.200	1001.97	50.442	17.439	---	---	62.471	---	---	173.358	0.040	---	---	2.407	3.611	---	---	4.650	
20.03.2017	22:29:22	7.00		---	---	---	---	17.485	---	---	14.200	1001.97	50.434	17.485	---	---	82.906	---	---	173.727	0.055	---	---	2.401	3.611	---	---	4.630	
20.03.2017	22:34:11	295.54		---	---	---	-655.54	17.416	---	---	14.200	1001.99	50.658	17.416	---	---	106.130	---	---	123.083	0.058	---	---	183.657	3.621	---	---	4.501	
20.03.2017	22:34:12	296.54		---	---	---	-292.42	17.347	---	---	14.200	1001.96	50.892	17.347	---	---	114.227	---	---	72.236	0.065	---	---	364.958	3.629	---	---	4.396	
20.03.2017	22:34:13	297.54		---	---	---	92.525	17.281	---	---	14.200	1001.95	51.126	17.281	---	---	109.413	---	---	21.222	0.055	---	---	546.058	3.641	---	---	4.304	
20.03.2017	22:34:14	298.54		---	---	---	92.613	17.330	---	---	14.200	1001.92	51.146	17.330	---	---	107.236	---	---	21.211	0.057	---	---	545.611	3.650	---	---	4.312	
