Time (HH:MM:SS),Ch4
15:39:41,-561.74
15:39:42,-217.40
15:39:43,107.87
15:39:44,107.79
15:39:45,107.70
15:39:46,107.63
15:39:47,107.54
15:39:48,107.50
15:39:49,107.47
15:39:50,107.46
15:39:51,107.40
15:39:52,107.34
15:39:53,107.29
15:39:54,107.23
15:39:55,107.04
15:39:56,106.97
15:39:57,106.32
15:39:58,105.79
15:39:59,105.02
15:40:00,104.86
15:40:01,105.54
15:40:02,106.25
15:40:03,106.91
15:40:04,106.76
15:40:05,106.67
15:40:06,106.62
15:40:07,106.57
15:40:08,106.51
15:40:09,106.46
15:40:10,106.41
15:40:11,106.37
15:40:12,106.32
15:40:13,106.23
15:40:14,106.18
15:40:15,106.14
15:40:16,106.13
15:40:17,106.06
15:40:18,105.98
15:40:19,105.90
15:40:20,105.87
15:40:21,105.85
15:40:22,105.81
15:40:23,105.76
15:40:24,105.70
15:40:25,105.65
15:40:26,105.61
15:40:27,105.54
15:40:28,105.50
15:40:29,105.47
15:40:30,105.44
15:40:31,105.39
15:40:32,105.33
15:40:33,105.30
15:40:34,105.25
15:40:35,105.20
15:40:36,105.14
15:40:37,105.11
15:40:38,105.05
15:40:39,104.34
15:40:40,103.59
15:40:41,102.93
15:40:42,102.99
15:40:43,103.04
15:40:44,103.78
15:40:45,104.42
15:40:46,105.08
15:40:47,104.97
15:40:48,104.87
15:40:49,104.81
15:40:50,104.73
15:40:51,104.69
15:40:52,104.63
15:40:53,104.59
15:40:54,104.53
15:40:55,104.46
15:40:56,104.43
15:40:57,104.38
15:40:58,104.33
15:40:59,104.28
15:41:00,104.26
15:41:01,104.24
15:41:02,104.20
15:41:03,104.14
15:41:04,104.10
15:41:05,104.05
15:41:06,104.02
15:41:07,103.96
15:41:08,103.97
15:41:09,103.94
15:41:10,103.93
15:41:11,103.86
15:41:12,103.83
15:41:13,103.78
15:41:14,103.74
15:41:15,103.68
15:41:16,103.66
15:41:17,103.64
15:41:18,103.61
15:41:19,103.58
15:41:20,103.53
15:41:21,103.49
15:41:22,103.47
15:41:23,103.45
15:41:24,103.43
15:41:25,103.39
15:41:26,103.34
15:41:27,103.32
15:41:28,103.27
15:41:29,103.25
15:41:30,103.20
15:41:31,103.18
15:41:32,103.16
15:41:33,103.14
15:41:34,103.09
15:41:35,103.08
15:41:36,103.05
15:41:37,103.05
15:41:38,102.98
15:41:39,102.97
15:41:40,102.91
15:41:41,102.92
15:41:42,102.88
15:41:43,102.85
15:41:44,102.82
15:41:45,102.77
15:41:46,102.75
15:41:47,102.74
15:41:48,102.73
15:41:49,102.72
15:41:50,102.66
15:41:51,102.65
15:41:52,102.62
15:41:53,102.60
15:41:54,102.56
15:41:55,102.53
15:41:56,102.52
15:41:57,102.49
15:41:58,102.45
15:41:59,102.43
15:42:00,102.40
15:42:01,102.38
15:42:02,102.35
15:42:03,102.37
15:42:04,102.34
15:42:05,102.33
15:42:06,102.28
15:42:07,102.26
15:42:08,102.20
15:42:09,102.18
15:42:10,102.12
15:42:11,102.14
15:42:12,102.11
15:42:13,102.08
15:42:14,102.04
15:42:15,102.02
15:42:16,102.03
15:42:17,102.03
15:42:18,102.00
15:42:19,101.97
15:42:20,101.93
15:42:21,101.91
15:42:22,101.91
15:42:23,101.89
15:42:24,101.88
15:42:25,101.87
15:42:26,101.84
15:42:27,101.80
15:42:28,101.77
15:42:29,101.74
15:42:30,101.70
15:42:31,101.68
15:42:32,101.67
15:42:33,101.66
15:42:34,101.65
15:42:35,101.64
15:42:36,101.61
15:42:37,101.59
15:42:38,101.56
15:42:39,101.56
15:42:40,101.56
15:42:41,101.52
15:42:42,101.50
15:42:43,101.44
15:42:44,101.45
15:42:45,101.42
15:42:46,101.44
15:42:47,101.40
15:42:48,101.38
15:42:49,101.35
15:42:50,101.31
15:42:51,101.31
15:42:52,101.30
15:42:53,101.31
15:42:54,101.28
15:42:55,101.25
15:42:56,101.23
15:42:57,101.23
15:42:58,101.23
15:42:59,101.19
15:43:00,101.16
15:43:01,101.12
15:43:02,101.10
15:43:03,101.09
15:43:04,101.08
15:43:05,101.06
15:43:06,101.02
15:43:07,100.99
15:43:08,100.98
15:43:09,100.97
15:43:10,100.95
15:43:11,100.92
15:43:12,100.90
15:43:13,100.90
15:43:14,100.87
15:43:15,100.86
15:43:16,100.84
15:43:17,100.85
15:43:18,100.85
15:43:19,100.82
15:43:20,100.81
15:43:21,100.76
15:43:22,100.75
15:43:23,100.75
15:43:24,100.75
15:43:25,100.73
15:43:26,100.70
15:43:27,100.68
15:43:28,100.65
15:43:29,100.64
15:43:30,100.63
15:43:31,100.63
15:43:32,100.60
