
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SA7-530-200	3	ON External	20.000	OFF	1013	35.000	10%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-535-194	3	OFF	14.200	OFF	1013	0.000	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	53.000	20.000	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Ch 4	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	53.500	19.400	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Data	Smoothing:	3	
Date:	21.03.2017	
			 	Oxygen			Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
21.03.2017	22:43:42	0.00		---	---	---	72.961	10.962	---	---	14.200	1013.00	35.130	10.962	---	---	139.706	---	---	23.953	0.070	---	---	633.124	3.941	---	---	3.651	
21.03.2017	22:43:43	1.00		---	---	---	72.961	10.970	---	---	14.200	1013.00	35.130	10.970	---	---	119.763	---	---	23.953	0.072	---	---	633.131	3.928	---	---	3.654	
21.03.2017	22:43:44	2.00		---	---	---	72.946	10.980	---	---	14.200	1013.01	35.130	10.980	---	---	126.364	---	---	23.956	0.062	---	---	633.139	3.942	---	---	3.673	
21.03.2017	22:43:45	3.00		---	---	---	72.952	10.985	---	---	14.200	1013.05	35.130	10.985	---	---	121.251	---	---	23.955	0.040	---	---	633.129	3.965	---	---	3.672	
21.03.2017	22:43:46	4.00		---	---	---	72.954	10.955	---	---	14.200	1013.07	35.130	10.955	---	---	111.016	---	---	23.954	0.043	---	---	633.123	3.980	---	---	3.665	
21.03.2017	22:43:47	5.00		---	---	---	72.950	10.961	---	---	14.200	1013.08	35.140	10.961	---	---	102.415	---	---	23.955	0.053	---	---	633.114	3.965	---	---	3.667	
21.03.2017	22:43:48	6.00		---	---	---	72.944	10.960	---	---	14.200	1013.07	35.140	10.960	---	---	108.709	---	---	23.956	0.071	---	---	633.111	3.985	---	---	3.662	
21.03.2017	22:43:49	7.00		---	---	---	72.958	10.986	---	---	14.200	1013.05	35.150	10.986	---	---	127.672	---	---	23.954	0.072	---	---	633.085	3.975	---	---	3.643	
21.03.2017	22:43:50	8.00		---	---	---	72.962	10.945	---	---	14.200	1013.07	35.150	10.945	---	---	131.357	---	---	23.953	0.065	---	---	633.081	3.972	---	---	3.621	
21.03.2017	22:45:43	120.27		---	---	---	71.159	10.942	---	---	14.200	1013.07	35.137	10.942	---	---	138.904	---	---	24.258	0.054	---	---	449.072	3.966	---	---	3.625	
21.03.2017	22:45:46	123.27		---	---	---	69.364	10.963	---	---	14.200	1013.07	35.114	10.963	---	---	145.839	---	---	24.561	0.050	---	---	265.095	3.962	---	---	3.647	
21.03.2017	22:45:49	126.27		---	---	---	67.575	10.959	---	---	14.200	1013.08	35.091	10.959	---	---	147.570	---	---	24.863	0.067	---	---	81.128	3.978	---	---	3.662	
21.03.2017	22:45:52	129.27		---	---	---	67.590	11.000	---	---	14.200	1013.08	35.091	11.000	---	---	157.350	---	---	24.860	0.070	---	---	81.180	3.968	---	---	3.658	
