time minutes,oxygen,station,depth
0,200.2974488,2,0cm
32,197.0286964,2,0cm
60,192.192006,2,0cm
84,191.2884485,2,0cm
108,189.0561298,2,0cm
135,203.9648294,2,0cm
169,202.4500417,2,0cm
202,198.4903337,2,0cm
232,199.2078647,2,0cm
264,192.67036,2,0cm
297,191.9262538,2,0cm
328,185.2824483,2,0cm
358,179.8345278,2,0cm
388,179.9142534,2,0cm
418,176.3797489,2,0cm
448,173.9614037,2,0cm
478,173.1109966,2,0cm
503,168.4869079,2,0cm
551,164.7398016,2,0cm
583,163.7299432,2,0cm
614,157.5113412,2,0cm
645,153.4984827,2,0cm
675,148.8478188,2,0cm
705,146.3231727,2,0cm
736,143.7453762,2,0cm
767,140.7423761,2,0cm
799,137.2344468,2,0cm
857,132.9026856,2,0cm
882,128.3051722,2,0cm
914,127.0295615,2,0cm
1237,90.0634276,2,0cm
1281,88.46891428,2,0cm
1664,48.15430239,2,0cm
1867,33.72395681,2,0cm
0,211.3793164,3,0cm
32,210.6617854,3,0cm
60,209.3861747,3,0cm
84,212.9738297,3,0cm
108,207.1538561,3,0cm
135,211.8045199,3,0cm
169,208.4560419,3,0cm
202,204.8152365,3,0cm
232,204.7089356,3,0cm
264,202.9283957,3,0cm
297,199.9785461,3,0cm
328,197.1349973,3,0cm
358,194.1851477,3,0cm
388,190.7303688,3,0cm
418,185.0698465,3,0cm
448,189.4547582,3,0cm
478,188.0728466,3,0cm
503,183.9536872,3,0cm
551,179.3295985,3,0cm
583,173.6159258,3,0cm
614,176.4328993,3,0cm
645,170.1079965,3,0cm
675,167.2378725,3,0cm
705,163.703368,3,0cm
736,161.0989962,3,0cm
767,156.9798368,3,0cm
799,154.6677925,3,0cm
857,150.3360313,3,0cm
882,148.9009693,3,0cm
914,147.3861816,3,0cm
1237,120.7843843,3,0cm
1281,116.3728975,3,0cm
1664,82.78181675,3,0cm
1867,80.41662199,3,0cm
1,165.0587043,143,30cm
33,157.3518899,143,30cm
61,151.6913676,143,30cm
85,145.7916683,143,30cm
109,144.3566063,143,30cm
136,147.7050843,143,30cm
170,145.5259161,143,30cm
203,141.6193584,143,30cm
234,138.4037566,143,30cm
265,136.6763671,143,30cm
297,132.7432343,143,30cm
329,128.3051722,143,30cm
359,125.5944995,143,30cm
389,122.3523224,143,30cm
419,119.1367205,143,30cm
