transect,station,depth_cm,conductivity,temperature_cond_sensor,phase_angle_oxygen_sensor,Temp_oxygen_sensor,comment
1,1,10,43.1,18.8,,,Transect 1 start 12:00 end 13:30
1,1,30,44.7,18.2,,,
1,1,50,48.6,17.1,,,
1,1,100,48,17.2,,,
1,2,10,48.7,17.6,,,
1,2,30,48.4,17,,,
1,2,50,48.6,16.8,,,
1,2,100,48.3,16.7,,,
1,3,10,48.5,17.3,,,
1,3,30,47.9,16.8,,,
1,3,50,48.1,,,,
1,3,100,48.2,,,,
1,4,10,48.4,,,,
1,4,30,48.1,,,,
1,4,50,48.1,,,,
1,4,100,48.3,,,,
1,5,10,48.9,,,,
1,5,30,47.5,,,,
1,5,50,47.5,,,,
1,5,100,47,,,,
1,6,10,48.3,,,,
1,6,30,47.9,,,,
1,6,50,47.1,,,,
1,6,100,46.9,,,,
1,7,10,47.1,,,,
1,7,30,47,,,,
1,7,50,47.1,,,,
1,7,100,46.5,,,,
1,8,10,46.6,,,,
1,8,30,46.6,,,,
1,8,50,45.6,,,,
1,8,100,46.7,,,,
