transect,station,depth_cm,conductivity,temperature_cond_sensor,phase_angle_oxygen_sensor,Temp_oxygen_sensor,comment
1,1,10,,,,,Transect 1 start 12:00 end 13:30
1,1,30,,,,,
1,1,50,,,,,
1,1,100,,,,,
1,2,10,,,,,
1,2,30,,,,,
1,2,50,,,,,
1,2,100,,,,,
1,3,10,,,,,
1,3,30,,,,,
1,3,50,,,,,
1,3,100,,,,,
1,4,10,,,,,
1,4,30,,,,,
1,4,50,,,,,
1,4,100,,,,,
1,5,10,,,,,
1,5,30,,,,,
1,5,50,,,,,
1,5,100,,,,,
1,6,10,,,,,
1,6,30,,,,,
1,6,50,,,,,
1,6,100,,,,,
1,7,10,,,,,
1,7,30,,,,,
1,7,50,,,,,
1,7,100,,,,,
1,8,10,,,,,
1,8,30,,,,,
1,8,50,,,,,
1,8,100,,,,,
