#Log_File	LOG031
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.33
#Unique_ID	2411E505575BA507
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	SD7-517-198	Water	dphi	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	SD7-517-198	not cal.	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	30%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	51.700°	19.800°	20.00°C	20.00°C	1013 mbar	0%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(dphi)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2017-07-07 12:24:59	21,560		22,31	22,31	1011,9	62,7	61		0	21,560	72,8	4,7	22,13
2	2017-07-07 12:25:53	19,351		22,26	22,26	1011,9	62,6	115		0	19,351	62,4	4,7	22,15
3	2017-07-07 12:26:52	18,894		22,23	22,23	1011,9	62,6	174		0	18,894	68,5	4,8	22,16
4	2017-07-07 12:27:51	20,498		22,27	22,27	1011,9	62,5	233		0	20,498	74,6	4,6	22,18
5	2017-07-07 12:28:53	21,159		22,17	22,17	1011,9	62,5	295		0	21,159	98,1	4,8	22,20
6	2017-07-07 12:29:55	20,142		22,23	22,23	1012,0	62,5	357		0	20,142	76,5	4,6	22,21
7	2017-07-07 12:31:00	19,418		22,26	22,26	1011,9	62,4	422		0	19,418	95,4	4,6	22,22
8	2017-07-07 12:32:06	19,603		22,30	22,30	1011,9	62,3	488		0	19,603	84,1	4,4	22,24
9	2017-07-07 12:33:41	21,392		22,25	22,25	1012,0	62,2	583		0	21,392	85,6	4,9	22,25
10	2017-07-07 12:34:48	19,817		22,33	22,33	1012,0	62,1	650		0	19,817	76,4	4,8	22,27
11	2017-07-07 12:35:35	20,755		22,30	22,30	1011,9	62,0	697		0	20,755	68,7	4,8	22,28
12	2017-07-07 12:37:27	22,010		22,07	22,07	1012,0	62,3	809		0	22,010	82,9	4,7	22,28
13	2017-07-07 12:37:57	19,312		22,23	22,23	1012,0	62,2	839		0	19,312	70,4	4,6	22,29
14	2017-07-07 12:38:33	18,971		22,27	22,27	1012,0	62,3	875		0	18,971	70,4	4,7	22,30
15	2017-07-07 12:39:09	20,587		22,30	22,30	1012,0	62,3	911		0	20,587	81,6	4,7	22,31
16	2017-07-07 12:39:35	21,442		22,31	22,31	1012,1	62,3	937		0	21,442	98,6	4,8	22,32
17	2017-07-07 12:40:02	20,224		22,33	22,33	1012,0	62,3	964		0	20,224	82,2	4,7	22,33
18	2017-07-07 12:40:30	19,437		22,34	22,34	1012,0	62,3	992		0	19,437	92,2	4,8	22,34
19	2017-07-07 12:40:58	19,677		22,32	22,32	1012,1	62,4	1020		0	19,677	86,0	4,9	22,34
20	2017-07-07 12:41:30	21,627		22,37	22,37	1012,0	62,4	1052		0	21,627	85,4	4,7	22,35
21	2017-07-07 12:42:20	19,900		22,35	22,35	1012,1	62,3	1102		0	19,900	80,2	4,8	22,36
22	2017-07-07 12:42:56	21,104		22,38	22,38	1012,1	62,3	1138		0	21,104	70,9	4,8	22,36
23	2017-07-07 12:46:35	22,247		22,23	22,23	1012,1	62,1	1357		0	22,247	80,9	4,7	22,36
24	2017-07-07 12:46:57	19,320		22,27	22,27	1012,0	62,2	1379		0	19,320	70,0	4,8	22,35
25	2017-07-07 12:47:25	19,040		22,25	22,25	1012,0	62,2	1407		0	19,040	73,7	4,9	22,35
26	2017-07-07 12:48:53	20,729		22,10	22,10	1012,0	62,1	1495		0	20,729	87,3	4,8	22,35
27	2017-07-07 12:49:26	21,529		22,20	22,20	1012,1	62,1	1528		0	21,529	109,6	4,8	22,35
28	2017-07-07 12:50:08	20,208		22,27	22,27	1012,0	62,1	1570		0	20,208	86,4	4,7	22,36
29	2017-07-07 12:50:32	19,494		22,32	22,32	1012,0	62,2	1594		0	19,494	93,2	4,8	22,36
30	2017-07-07 12:51:11	19,724		22,29	22,29	1012,1	62,2	1633		0	19,724	89,5	4,7	22,37
31	2017-07-07 12:51:45	21,987		22,32	22,32	1012,1	62,1	1667		0	21,987	86,6	5,0	22,37
32	2017-07-07 12:52:07	19,987		22,34	22,34	1012,0	62,1	1689		0	19,987	81,7	4,7	22,38
33	2017-07-07 12:52:44	21,639		22,35	22,35	1012,1	62,1	1726		0	21,639	73,9	4,8	22,38
34	2017-07-07 12:56:59	22,436		22,27	22,27	1012,0	61,9	1981		0	22,436	83,2	4,8	22,35
35	2017-07-07 12:57:23	19,382		22,31	22,31	1012,0	62,0	2005		0	19,382	70,6	4,9	22,36
36	2017-07-07 12:57:50	19,014		22,31	22,31	1012,0	62,0	2032		0	19,014	76,3	4,8	22,36
37	2017-07-07 12:58:18	20,836		22,34	22,34	1012,0	62,0	2060		0	20,836	83,3	5,0	22,37
38	2017-07-07 12:58:48	21,749		22,34	22,34	1012,0	62,0	2090		0	21,749	103,1	4,7	22,37
39	2017-07-07 12:59:21	20,214		22,38	22,38	1012,0	62,0	2123		0	20,214	83,2	4,6	22,38
40	2017-07-07 12:59:56	19,730		22,39	22,39	1012,0	62,0	2158		0	19,730	87,0	4,8	22,39
41	2017-07-07 13:00:24	22,209		22,41	22,41	1012,0	62,1	2186		0	22,209	89,4	4,6	22,40
42	2017-07-07 13:02:01	19,533		22,34	22,34	1012,0	62,0	2283		0	19,533	97,5	4,9	22,42
43	2017-07-07 13:02:32	19,648		22,34	22,34	1011,9	62,0	2314		0	19,648	89,5	4,7	22,42
44	2017-07-07 13:03:04	22,163		22,39	22,39	1012,0	62,1	2346		0	22,163	89,7	4,8	22,43
45	2017-07-07 13:03:41	20,002		22,44	22,44	1012,0	62,0	2383		0	20,002	83,9	4,9	22,43
46	2017-07-07 13:04:09	22,248		22,38	22,38	1012,0	62,0	2411		0	22,248	72,1	4,8	22,45
47	2017-07-07 13:06:50	22,608		22,35	22,35	1012,0	61,9	2572		0	22,608	87,3	4,5	22,42
48	2017-07-07 13:07:13	19,403		22,31	22,31	1012,0	61,9	2595		0	19,403	67,8	4,6	22,43
49	2017-07-07 13:07:36	18,992		22,33	22,33	1012,0	62,0	2618		0	18,992	69,5	4,8	22,43
50	2017-07-07 13:08:03	20,940		22,37	22,37	1012,0	62,0	2645		0	20,940	86,0	5,2	22,44
51	2017-07-07 13:08:31	21,928		22,34	22,34	1012,0	62,0	2673		0	21,928	104,3	5,0	22,44
52	2017-07-07 13:09:00	20,207		22,37	22,37	1012,0	62,0	2702		0	20,207	85,2	4,7	22,44
53	2017-07-07 13:09:27	19,519		22,38	22,38	1012,0	62,1	2729		0	19,519	94,9	4,9	22,46
54	2017-07-07 13:10:13	19,657		22,39	22,39	1012,1	62,0	2775		0	19,657	89,1	4,6	22,47
55	2017-07-07 13:12:32	22,357		22,30	22,30	1011,9	61,9	2914		0	22,357	94,3	4,9	22,45
56	2017-07-07 13:12:59	20,034		22,38	22,38	1011,9	62,0	2941		0	20,034	81,4	4,9	22,45
57	2017-07-07 13:13:26	22,225		22,39	22,39	1012,0	62,0	2968		0	22,225	67,6	4,7	22,46
58	2017-07-07 13:18:02	22,832		22,35	22,35	1011,9	61,8	3244		0	22,832	83,7	4,7	22,44
59	2017-07-07 13:18:32	19,389		22,41	22,41	1012,0	62,0	3274		0	19,389	67,6	4,7	22,44
60	2017-07-07 13:18:59	19,024		22,41	22,41	1011,9	61,9	3301		0	19,024	65,0	4,8	22,45
61	2017-07-07 13:19:30	21,033		22,43	22,43	1012,0	61,9	3332		0	21,033	82,2	4,6	22,46
62	2017-07-07 13:20:01	22,093		22,43	22,43	1011,9	61,8	3363		0	22,093	103,7	4,7	22,46
63	2017-07-07 13:20:27	20,152		22,35	22,35	1012,0	61,8	3389		0	20,152	77,9	4,8	22,46
64	2017-07-07 13:21:00	19,535		22,42	22,42	1012,0	61,9	3422		0	19,535	89,0	4,8	22,48
65	2017-07-07 13:21:23	19,769		22,45	22,45	1012,0	62,0	3445		0	19,769	80,5	4,8	22,47
66	2017-07-07 13:21:57	22,655		22,41	22,41	1012,0	61,9	3479		0	22,655	89,4	4,8	22,49
67	2017-07-07 13:22:32	20,058		22,45	22,45	1012,1	61,8	3514		0	20,058	79,4	4,8	22,48
68	2017-07-07 13:23:17	22,428		22,51	22,51	1012,0	61,8	3559		0	22,428	73,0	4,9	22,50
69	2017-07-07 13:27:53	23,131		22,27	22,27	1012,1	61,9	3835		0	23,131	81,5	4,5	22,47
70	2017-07-07 13:28:29	19,397		22,32	22,32	1012,0	61,9	3871		0	19,397	67,2	4,7	22,46
71	2017-07-07 13:29:14	19,051		22,32	22,32	1012,0	61,8	3916		0	19,051	64,7	4,6	22,46
72	2017-07-07 13:29:45	21,080		22,33	22,33	1011,9	61,8	3947		0	21,080	79,8	4,8	22,46
73	2017-07-07 13:30:11	22,236		22,35	22,35	1012,0	61,8	3973		0	22,236	97,0	4,7	22,47
74	2017-07-07 13:30:39	20,232		22,39	22,39	1012,0	61,9	4001		0	20,232	75,2	4,6	22,47
75	2017-07-07 13:31:11	19,572		22,40	22,40	1012,0	61,9	4033		0	19,572	84,2	4,7	22,47
76	2017-07-07 13:31:45	19,792		22,40	22,40	1012,0	61,9	4067		0	19,792	75,5	4,5	22,47
77	2017-07-07 13:32:06	22,961		22,44	22,44	1012,0	62,0	4088		0	22,961	88,4	4,8	22,47
78	2017-07-07 13:32:36	20,081		22,40	22,40	1012,0	61,9	4118		0	20,081	73,2	4,8	22,47
79	2017-07-07 13:33:01	22,819		22,42	22,42	1012,0	61,9	4143		0	22,819	66,3	4,6	22,48
80	2017-07-07 13:38:12	23,315		22,25	22,25	1012,0	61,8	4454		0	23,315	79,6	4,5	22,44
81	2017-07-07 13:38:57	19,369		22,37	22,37	1012,0	61,9	4499		0	19,369	59,3	4,5	22,45
82	2017-07-07 13:39:36	18,997		22,33	22,33	1012,0	61,9	4538		0	18,997	68,1	4,5	22,45
83	2017-07-07 13:40:08	21,211		22,40	22,40	1012,1	61,9	4570		0	21,211	78,4	4,5	22,46
84	2017-07-07 13:40:45	22,482		22,39	22,39	1012,1	62,0	4607		0	22,482	99,1	4,5	22,46
85	2017-07-07 13:41:20	20,242		22,40	22,40	1012,0	62,1	4642		0	20,242	75,1	4,7	22,47
86	2017-07-07 13:41:46	19,632		22,40	22,40	1012,0	62,0	4668		0	19,632	86,7	4,6	22,47
