station,depth,uncorrected rate,sediment volume,oxygen_consumption_rate_uM_per_h_corrected
2,10cm,-16.3749200809,8.65,-22.7166521353
2,30cm,-4.0842955822,8.75,-5.6013196555
2,50cm,-5.7551936448,8.76,-7.8838269107
2,70cm,-2.9116093368,8.72,-4.0068018396
4,10cm,-15.2195158814,9.05,-20.1805735444
4,30cm,-2.9039989217,8.7,-4.005515754
4,50cm,-2.7957989064,8.82,-3.8038080359
4,60cm,-7.9564457422,8.7,-10.9744079202
5,10cm,-23.2432790674,8.25,-33.8084059162
5,30cm,-2.6917500423,8,-4.0376250635
5,50cm,-3.0096630069,8.5,-4.2489360097
5,70cm,-19.5911379061,8.5,-27.6580770439
6,10cm,-18.8316471769,8.6,-26.276716991
6,30cm,-2.1766937479,8.4,-3.1095624971
6,50cm,-2.9129189839,8.7,-4.0178192881
6,80cm,-2.0313258821,8.6,-2.8344082076
8,0cm,-21.4916848101,7.3,-35.3287969481
8,10cm,-25.6175766571,8.4,-36.5965380816
8,30cm,-2.3276708422,8.6,-3.2479128031
8,50cm,-5.2019127521,8.85,-7.0534410198
8,80cm,-2.7552511893,8.45,-3.9127827541
