time minutes,oxygen,station,depth
0,198.39,2,10cm
10.08,194.41,2,10cm
20.16,200.2,2,10cm
30.24,191.75,2,10cm
41.76,191.92,2,10cm
63.36,186.57,2,10cm
73.44,191.55,2,10cm
84.96,191.79,2,10cm
96.48,182.57,2,10cm
106.56,180.67,2,10cm
118.08,178.03,2,10cm
131.04,175.93,2,10cm
145.44,174.07,2,10cm
156.96,170.77,2,10cm
168.48,165.94,2,10cm
180,164.33,2,10cm
190.08,160.48,2,10cm
201.6,155.46,2,10cm
211.68,152.7,2,10cm
223.2,148.14,2,10cm
234.72,144.31,2,10cm
244.8,140.31,2,10cm
254.88,135.8,2,10cm
264.96,131.69,2,10cm
275.04,128.22,2,10cm
288,124.52,2,10cm
300.96,119.72,2,10cm
309.6,116.85,2,10cm
319.68,115.43,2,10cm
329.76,112.93,2,10cm
339.84,111.71,2,10cm
351.36,109.43,2,10cm
361.44,108.75,2,10cm
372.96,106.77,2,10cm
384.48,105.99,2,10cm
0,215.06,2,30cm
11.52,211.41,2,30cm
20.16,209.17,2,30cm
30.24,209.66,2,30cm
43.2,208.38,2,30cm
63.36,205.92,2,30cm
74.87999999,206.94,2,30cm
86.4,206.84,2,30cm
96.48,206.11,2,30cm
106.56,205.29,2,30cm
119.52,202.66,2,30cm
131.04,202.69,2,30cm
145.44,201.63,2,30cm
156.96,200.53,2,30cm
169.92,200.07,2,30cm
180,199.26,2,30cm
191.52,197.07,2,30cm
203.04,196.23,2,30cm
213.12,195.6,2,30cm
223.2,195.86,2,30cm
236.16,193.68,2,30cm
244.8,194.51,2,30cm
256.32,192.13,2,30cm
266.4,192.3,2,30cm
276.48,193.9,2,30cm
288,191.22,2,30cm
300.96,190.34,2,30cm
309.6,190.15,2,30cm
321.12,189.89,2,30cm
331.2,189.4,2,30cm
339.84,190.08,2,30cm
351.36,189,2,30cm
362.88,189.61,2,30cm
374.4,185.6,2,30cm
385.92,186.75,2,30cm
0,225.28,2,50cm
10.08000001,221.41,2,50cm
20.16,219.27,2,50cm
28.80000001,218.55,2,50cm
41.76,216.15,2,50cm
63.36,213.95,2,50cm
73.44,214.29,2,50cm
84.96,212.77,2,50cm
96.48,213.45,2,50cm
106.56,211.6,2,50cm
118.08,210.82,2,50cm
131.04,208.66,2,50cm
145.44,207.2,2,50cm
156.96,205.76,2,50cm
168.48,206.71,2,50cm
180,203.15,2,50cm
190.08,199.65,2,50cm
201.6,199.41,2,50cm
211.68,196.29,2,50cm
223.2,194.72,2,50cm
234.72,192.66,2,50cm
244.8,194.23,2,50cm
254.88,192.84,2,50cm
264.96,192.22,2,50cm
275.04,192.6,2,50cm
288,191.89,2,50cm
300.96,191.67,2,50cm
309.6,192.23,2,50cm
319.68,190.93,2,50cm
329.76,191.47,2,50cm
339.84,190.17,2,50cm
351.36,189.15,2,50cm
361.44,189.79,2,50cm
374.4,187.89,2,50cm
384.48,187.53,2,50cm
0,229.82,2,70cm
10.08000001,225.2,2,70cm
20.16,225.85,2,70cm
30.24,225.47,2,70cm
41.76,222.79,2,70cm
63.36,222.77,2,70cm
74.88,222.96,2,70cm
84.96,224.05,2,70cm
96.48,224.76,2,70cm
106.56,222.47,2,70cm
119.52,223.84,2,70cm
131.04,222.84,2,70cm
145.44,221.74,2,70cm
156.96,221.54,2,70cm
169.92,222.08,2,70cm
180,221.38,2,70cm
191.52,219.4,2,70cm
201.6,219.42,2,70cm
213.12,218.47,2,70cm
223.2,217.27,2,70cm
234.72,216.2,2,70cm
244.8,216.97,2,70cm
254.88,216.2,2,70cm
266.4,214.38,2,70cm
276.48,216.88,2,70cm
288,213.94,2,70cm
300.96,214.95,2,70cm
309.6,214.01,2,70cm
319.68,211.33,2,70cm
331.2,210.96,2,70cm
339.84,210.98,2,70cm
351.36,210.77,2,70cm
362.88,208.89,2,70cm
374.4,207.25,2,70cm
385.92,207.76,2,70cm
0,228.13,4,10cm
8.640000002,207.61,4,10cm
18.72000001,206.71,4,10cm
28.80000001,220.45,4,10cm
41.76,211.86,4,10cm
61.92000001,215.46,4,10cm
72,203.58,4,10cm
83.52000001,193.15,4,10cm
93.6,202.35,4,10cm
105.12,188.83,4,10cm
118.08,186.2,4,10cm
129.6,184.07,4,10cm
142.56,180.62,4,10cm
155.52,178.67,4,10cm
167.04,175.94,4,10cm
178.56,172.96,4,10cm
188.64,171.52,4,10cm
200.16,166.21,4,10cm
211.68,162.63,4,10cm
221.76,161.02,4,10cm
233.28,157.76,4,10cm
243.36,155.98,4,10cm
253.44,155.16,4,10cm
264.96,151.35,4,10cm
275.04,150.99,4,10cm
286.56,146.92,4,10cm
299.52,143.78,4,10cm
308.16,141.46,4,10cm
318.24,139.96,4,10cm
328.32,136.94,4,10cm
338.4,134.13,4,10cm
349.92,131.75,4,10cm
360,129.32,4,10cm
372.96,126.79,4,10cm
383.04,124.55,4,10cm
0,230.48,4,30cm
10.08000001,231.38,4,30cm
20.16,232.16,4,30cm
30.24,232.27,4,30cm
41.76,229.68,4,30cm
63.36,230.14,4,30cm
73.44000001,231.32,4,30cm
84.96,231.06,4,30cm
95.04000001,232.67,4,30cm
105.12,230.49,4,30cm
118.08,230.25,4,30cm
129.6,228.72,4,30cm
144,228.88,4,30cm
155.52,228.37,4,30cm
168.48,227.75,4,30cm
180,227.33,4,30cm
190.08,225.64,4,30cm
201.6,226.02,4,30cm
211.68,223.47,4,30cm
221.76,222.71,4,30cm
233.28,222.19,4,30cm
244.8,222.31,4,30cm
254.88,222.77,4,30cm
264.96,222.38,4,30cm
275.04,222.17,4,30cm
286.56,221,4,30cm
300.96,220.08,4,30cm
309.6,219.61,4,30cm
319.68,219.34,4,30cm
329.76,217.03,4,30cm
339.84,217.81,4,30cm
349.92,216.29,4,30cm
361.44,215.18,4,30cm
372.96,214.62,4,30cm
384.48,213.09,4,30cm
0,219.56,4,50cm
10.08000001,220.57,4,50cm
20.16,221.12,4,50cm
30.24,218.81,4,50cm
41.76,218.71,4,50cm
63.36,216.13,4,50cm
73.44000001,215.32,4,50cm
84.96,215.69,4,50cm
96.48,216.66,4,50cm
106.56,216.58,4,50cm
118.08,216.2,4,50cm
131.04,215.04,4,50cm
144,215.79,4,50cm
156.96,216.16,4,50cm
168.48,215.77,4,50cm
180,214.66,4,50cm
190.08,213.24,4,50cm
201.6,212.79,4,50cm
213.12,210.96,4,50cm
223.2,210.8,4,50cm
234.72,211.08,4,50cm
244.8,210.13,4,50cm
254.88,209.11,4,50cm
264.96,208.35,4,50cm
275.04,210.11,4,50cm
288,208.73,4,50cm
300.96,209.1,4,50cm
309.6,206.38,4,50cm
319.68,206.58,4,50cm
329.76,207.15,4,50cm
339.84,204.32,4,50cm
351.36,203.52,4,50cm
361.44,202.28,4,50cm
372.96,201.28,4,50cm
384.48,201.55,4,50cm
0,214.78,4,60cm
10.08,218.61,4,60cm
18.72,218.07,4,60cm
28.8,214.6,4,60cm
41.76,211.74,4,60cm
61.92,208.15,4,60cm
73.44,210.78,4,60cm
83.52,208.8,4,60cm
95.04,211.69,4,60cm
105.12,208.57,4,60cm
118.08,206.77,4,60cm
129.6,204.48,4,60cm
144,204.81,4,60cm
155.52,204.33,4,60cm
168.48,201.83,4,60cm
178.56,198.48,4,60cm
190.08,200.31,4,60cm
201.6,196.39,4,60cm
211.68,192.83,4,60cm
221.76,192.67,4,60cm
234.72,190.03,4,60cm
243.36,190.48,4,60cm
254.88,186.78,4,60cm
264.96,184.15,4,60cm
275.04,184.59,4,60cm
286.56,184.74,4,60cm
299.52,181.21,4,60cm
308.16,178.42,4,60cm
319.68,177.86,4,60cm
329.76,176.06,4,60cm
339.84,175.88,4,60cm
349.92,172.49,4,60cm
361.44,170.04,4,60cm
372.96,169.05,4,60cm
384.48,166.54,4,60cm
0,185.37,5,10cm
12.96,179.25,5,10cm
21.6,174.71,5,10cm
33.12,171.62,5,10cm
41.76,168.65,5,10cm
53.28,165.35,5,10cm
63.36,161.44,5,10cm
73.44,158.96,5,10cm
83.52,155.6,5,10cm
95.04,151.85,5,10cm
105.12,147.49,5,10cm
115.2,144.37,5,10cm
125.28,140.18,5,10cm
135.36,136.31,5,10cm
145.44,132.78,5,10cm
156.96,128.68,5,10cm
165.6,125.51,5,10cm
177.12,121.81,5,10cm
185.76,118.16,5,10cm
195.84,113.85,5,10cm
205.92,110.13,5,10cm
217.44,105.02,5,10cm
227.52,100.34,5,10cm
237.6,96.01,5,10cm
249.12,91.48,5,10cm
259.2,87.47,5,10cm
269.28,82.65,5,10cm
279.36,78.61,5,10cm
289.44,73.62,5,10cm
299.52,69.84,5,10cm
309.6,65.2,5,10cm
319.68,61.7,5,10cm
329.76,57.41,5,10cm
352.8,48.18,5,10cm
375.84,38.5,5,10cm
0,227.72,5,30cm
11.52,228.76,5,30cm
21.60000001,228.33,5,30cm
31.68000001,226.73,5,30cm
41.76,226.28,5,30cm
53.28000001,225.95,5,30cm
61.92000001,226.35,5,30cm
73.44000001,226.63,5,30cm
83.52000001,225.25,5,30cm
93.6,224.55,5,30cm
103.68,223.35,5,30cm
115.2,224.29,5,30cm
123.84,223.38,5,30cm
133.92,223.34,5,30cm
144,221.95,5,30cm
155.52,222.75,5,30cm
165.6,224,5,30cm
175.68,224.82,5,30cm
184.32,223.6,5,30cm
195.84,222.47,5,30cm
205.92,222.92,5,30cm
217.44,222.24,5,30cm
227.52,222.2,5,30cm
237.6,220.82,5,30cm
247.68,221.01,5,30cm
257.76,219.92,5,30cm
269.28,219.13,5,30cm
279.36,216.86,5,30cm
289.44,215.32,5,30cm
299.52,216.23,5,30cm
309.6,213.23,5,30cm
318.24,214.23,5,30cm
329.76,212.7,5,30cm
351.36,212.32,5,30cm
375.84,207.45,5,30cm
0,238.12,5,50cm
11.52,236.09,5,50cm
20.16,234.66,5,50cm
30.24,234.86,5,50cm
40.32,235.22,5,50cm
51.84,233.97,5,50cm
61.92,233.96,5,50cm
72,235.11,5,50cm
82.08,234.19,5,50cm
93.6,234.19,5,50cm
102.24,232.07,5,50cm
113.76,232.01,5,50cm
123.84,231.26,5,50cm
133.92,230.27,5,50cm
144,230.47,5,50cm
154.08,230.23,5,50cm
164.16,232.38,5,50cm
174.24,231.21,5,50cm
184.32,231.63,5,50cm
194.4,230.77,5,50cm
204.48,231.62,5,50cm
216,228.68,5,50cm
226.08,229.84,5,50cm
236.16,229.48,5,50cm
246.24,229.34,5,50cm
257.76,227.1,5,50cm
267.84,226.59,5,50cm
277.92,224.67,5,50cm
288,223.53,5,50cm
298.08,222.63,5,50cm
308.16,220.5,5,50cm
318.24,220,5,50cm
329.76,220.48,5,50cm
351.36,217.31,5,50cm
375.84,213.62,5,50cm
0,204.45,5,70cm
11.52,202.61,5,70cm
21.6,201.11,5,70cm
30.24,197.8,5,70cm
40.32,195.76,5,70cm
51.84,193.78,5,70cm
61.92,193.49,5,70cm
73.44,190.83,5,70cm
82.08,188.79,5,70cm
93.6,187.02,5,70cm
103.68,185.55,5,70cm
115.2,182.44,5,70cm
123.84,180.68,5,70cm
133.92,177.66,5,70cm
144,175.63,5,70cm
155.52,172.37,5,70cm
165.6,172.67,5,70cm
175.68,170.22,5,70cm
184.32,165.8,5,70cm
195.84,162.9,5,70cm
205.92,159.67,5,70cm
217.44,154.5,5,70cm
227.52,151.43,5,70cm
237.6,147.03,5,70cm
247.68,143.08,5,70cm
257.76,138.42,5,70cm
269.28,133.23,5,70cm
279.36,128.01,5,70cm
289.44,123.12,5,70cm
299.52,116.7,5,70cm
309.6,110.6,5,70cm
319.68,105.29,5,70cm
329.76,98.77,5,70cm
351.36,86.33,5,70cm
375.84,68.92,5,70cm
0,192.98,6,10cm
10.08000001,187.35,6,10cm
20.16,186.46,6,10cm
30.24,182.09,6,10cm
40.32000001,179.19,6,10cm
51.84,176.12,6,10cm
61.92000001,174.29,6,10cm
72,170.34,6,10cm
82.08,168.25,6,10cm
93.6,164.63,6,10cm
102.24,160.89,6,10cm
113.76,158.24,6,10cm
123.84,155.97,6,10cm
132.48,152.01,6,10cm
144,149.51,6,10cm
154.08,147.1,6,10cm
164.16,145.07,6,10cm
174.24,142.22,6,10cm
184.32,138.74,6,10cm
194.4,135.57,6,10cm
204.48,132.63,6,10cm
216,128.72,6,10cm
226.08,126.32,6,10cm
236.16,122.29,6,10cm
246.24,118.77,6,10cm
256.32,114.55,6,10cm
267.84,111.43,6,10cm
277.92,107,6,10cm
288,103.4,6,10cm
298.08,99.39,6,10cm
308.16,95.91,6,10cm
318.24,92.26,6,10cm
329.76,88.53,6,10cm
351.36,80.41,6,10cm
375.84,69.25,6,10cm
0,211.55,6,30cm
10.08,209.35,6,30cm
20.16,210.02,6,30cm
28.8,209.25,6,30cm
38.88,209.45,6,30cm
50.39999999,210.64,6,30cm
60.48,208.84,6,30cm
70.56,208.59,6,30cm
80.64,208.26,6,30cm
92.16,207.87,6,30cm
100.8,208.09,6,30cm
112.32,206.7,6,30cm
122.4,206.88,6,30cm
132.48,207.07,6,30cm
142.56,205.51,6,30cm
154.08,206.72,6,30cm
164.16,208.15,6,30cm
174.24,208,6,30cm
182.88,208.32,6,30cm
194.4,207.38,6,30cm
204.48,206.86,6,30cm
216,206.3,6,30cm
226.08,205.28,6,30cm
236.16,205.64,6,30cm
244.8,203.35,6,30cm
256.32,203.29,6,30cm
266.4,203.28,6,30cm
277.92,201.14,6,30cm
288,200.67,6,30cm
298.08,199.89,6,30cm
308.16,198.1,6,30cm
318.24,197.98,6,30cm
328.32,199,6,30cm
351.36,198.98,6,30cm
375.84,194.38,6,30cm
0,226.28,6,50cm
8.640000002,225.36,6,50cm
18.72000001,224.27,6,50cm
30.24,223.32,6,50cm
37.44000001,223.36,6,50cm
48.96,222.78,6,50cm
59.04000001,222.12,6,50cm
70.56000001,220.86,6,50cm
79.2,219.7,6,50cm
90.72,220.16,6,50cm
100.8,219.45,6,50cm
112.32,220.4,6,50cm
120.96,219.2,6,50cm
132.48,217.49,6,50cm
141.12,217.21,6,50cm
152.64,217.71,6,50cm
162.72,219.18,6,50cm
172.8,220.46,6,50cm
182.88,219.41,6,50cm
192.96,218.54,6,50cm
203.04,219.14,6,50cm
214.56,218.07,6,50cm
224.64,216.94,6,50cm
234.72,216.15,6,50cm
244.8,214.86,6,50cm
254.88,214.55,6,50cm
266.4,214.7,6,50cm
276.48,211.94,6,50cm
286.56,211.94,6,50cm
296.64,209.65,6,50cm
306.72,209.65,6,50cm
316.8,208.31,6,50cm
328.32,208.79,6,50cm
349.92,206.87,6,50cm
374.4,203.93,6,50cm
0,222.09,6,80cm
8.640000002,220.42,6,80cm
20.16,219.63,6,80cm
30.24,220.9,6,80cm
38.88,220.4,6,80cm
50.40000001,217.72,6,80cm
60.48,217.56,6,80cm
70.56000001,217.09,6,80cm
80.64000001,215.69,6,80cm
92.16000001,215.18,6,80cm
100.8,215.26,6,80cm
112.32,214.27,6,80cm
122.4,213.75,6,80cm
132.48,213.51,6,80cm
142.56,213.67,6,80cm
154.08,212.82,6,80cm
164.16,214.6,6,80cm
174.24,216.35,6,80cm
182.88,215.22,6,80cm
192.96,215,6,80cm
204.48,214.13,6,80cm
216,214.23,6,80cm
226.08,214.13,6,80cm
236.16,214.23,6,80cm
244.8,212.72,6,80cm
256.32,211.8,6,80cm
266.4,211.23,6,80cm
276.48,210.74,6,80cm
288,210.49,6,80cm
298.08,210.28,6,80cm
308.16,208.48,6,80cm
318.24,208.56,6,80cm
328.32,207.59,6,80cm
351.36,208.76,6,80cm
375.84,206.43,6,80cm
0,199.5,8,0cm
