time.hours,oxygen
0,147
0,146
0,147
0.024,147
0.024,146
0.024,146
0.024,146
0.024,146
0.024,145
0.024,145
0.024,145
0.024,145
0.048,144
0.048,145
0.048,145
0.048,144
0.048,144
0.048,144
0.048,144
0.048,143
0.072,144
0.072,143
0.072,143
0.072,143
0.072,143
0.072,142
0.072,142
0.072,142
0.072,143
0.096,142
0.096,142
0.096,142
0.096,142
0.096,142
0.096,141
0.096,141
0.096,141
0.12,141
0.12,141
0.12,141
0.12,140
0.12,141
0.12,140
0.12,140
0.12,140
0.12,140
0.144,140
0.144,139
0.144,139
0.144,139
0.144,139
0.144,139
0.144,139
0.144,139
0.144,138
0.168,138
0.168,138
0.168,138
0.168,138
0.168,138
0.168,138
0.168,137
0.168,137
0.192,137
0.192,137
0.192,137
0.192,136
0.192,136
0.192,136
0.192,136
0.192,136
0.192,136
0.216,135
0.216,135
0.216,136
0.216,135
0.216,135
0.216,135
0.216,135
0.216,135
0.216,135
0.24,135
0.24,135
0.24,134
0.24,134
0.24,134
0.24,134
0.24,134
0.24,133
0.264,133
0.264,133
0.264,133
0.264,133
0.264,133
0.264,133
0.264,133
0.264,133
0.264,132
0.288,132
0.288,132
0.288,132
0.288,132
0.288,132
0.288,131
0.288,131
0.288,131
0.312,131
0.312,131
0.312,131
0.312,131
0.312,131
0.312,130
0.312,130
0.312,130
0.312,130
0.336,130
0.336,130
0.336,130
0.336,130
0.336,129
0.336,129
0.336,129
0.336,129
0.336,129
0.36,129
0.36,129
0.36,128
0.36,129
0.36,128
0.36,128
0.36,128
0.36,128
0.36,128
0.384,128
0.384,128
0.384,128
0.384,127
0.384,128
0.384,128
0.384,127
0.384,127
0.408,127
0.408,127
0.408,127
0.408,127
0.408,127
0.408,126
0.408,126
0.408,126
0.408,126
0.432,126
0.432,126
0.432,126
0.432,126
0.432,126
0.432,125
0.432,125
0.432,125
0.456,125
0.456,125
0.456,125
0.456,125
0.456,124
0.456,125
0.456,124
0.456,124
0.456,124
0.48,124
0.48,124
0.48,123
0.48,123
0.48,123
0.48,123
0.48,123
0.48,123
0.48,123
0.504,122
0.504,122
0.504,122
0.504,122
0.504,122
0.504,122
0.504,122
0.504,121
0.528,121
0.528,121
0.528,121
0.528,121
0.528,121
0.528,121
0.528,120
0.528,120
0.528,120
0.552,120
0.552,120
0.552,120
0.552,120
0.552,120
0.552,120
0.552,119
0.552,119
0.552,119
0.576,119
0.576,119
0.576,119
0.576,119
0.576,119
0.576,118
0.576,118
0.576,118
0.6,118
0.6,118
0.6,118
0.6,118
0.6,118
0.6,118
0.6,117
0.6,117
0.6,117
0.624,117
0.624,117
0.624,117
0.624,117
0.624,116
0.624,116
0.624,116
0.624,116
0.648,116
0.648,116
0.648,116
0.648,116
0.648,116
0.648,116
0.648,116
0.648,115
0.648,115
0.672,115
0.672,115
0.672,115
0.672,115
0.672,115
0.672,115
0.672,115
0.672,114
0.672,114
0.696,114
0.696,114
0.696,114
0.696,114
0.696,114
0.696,114
0.696,114
0.696,113
0.72,113
0.72,113
0.72,113
0.72,113
0.72,113
0.72,113
0.72,113
0.72,112
0.72,113
0.744,113
0.744,112
0.744,112
0.744,112
0.744,112
0.744,112
0.744,112
0.744,112
0.744,112
0.768,112
0.768,112
0.768,111
0.768,111
0.768,111
0.768,111
0.768,111
0.768,111
0.792,111
0.792,111
0.792,110
0.792,110
0.792,110
0.792,110
0.792,110
0.792,110
0.792,110
0.816,110
0.816,109
0.816,109
0.816,109
0.816,109
0.816,109
0.816,109
0.816,109
0.816,109
0.84,109
0.84,109
0.84,108
0.84,108
0.84,109
0.84,108
0.84,108
0.84,108
0.864,108
0.864,108
0.864,108
0.864,107
0.864,107
0.864,107
0.864,107
0.864,107
0.864,107
0.888,107
0.888,107
0.888,107
0.888,106
0.888,106
0.888,107
0.888,106
0.888,106
0.888,106
0.912,106
0.912,106
0.912,105
0.912,106
0.912,106
0.912,105
0.912,105
0.912,105
0.936,105
0.936,105
0.936,105
0.936,105
0.936,105
0.936,105
0.936,104
0.936,104
0.936,104
0.96,104
0.96,104
0.96,104
0.96,104
0.96,104
0.96,104
0.96,104
0.96,103
0.96,103
0.984,103
0.984,103
0.984,103
0.984,102
0.984,103
0.984,102
0.984,102
0.984,102
1.008,102
1.008,102
1.008,102
1.008,102
1.008,101
1.008,102
1.008,102
1.008,101
1.008,101
1.032,101
1.032,101
1.032,101
1.032,100
1.032,101
1.032,101
1.032,100
1.032,100
1.056,100
1.056,100
1.056,100
1.056,99.9
1.056,99.7
1.056,99.6
1.056,99.6
1.056,99.7
1.056,99.6
1.08,99.5
1.08,99.3
1.08,99.4
1.08,99.2
1.08,99
1.08,99
1.08,98.9
1.08,98.6
1.08,99
1.104,98.6
1.104,98.8
1.104,98.7
1.104,98.5
1.104,98.3
1.104,98.2
1.104,98.3
1.104,98
1.128,98.2
1.128,97.9
1.128,97.8
1.128,97.7
1.128,97.6
1.128,97.7
1.128,97.6
1.128,97.3
1.128,97.3
1.152,97.2
1.152,97
1.152,96.9
1.152,96.8
1.152,96.7
1.152,96.8
1.152,96.6
1.152,96.7
1.152,96.4
1.176,96.2
1.176,96.2
1.176,96.3
1.176,95.8
1.176,96.1
1.176,96.2
1.176,95.9
1.176,95.8
1.2,95.6
1.2,95.5
1.2,95.5
1.2,95.4
1.2,95.2
1.2,95.4
1.2,94.9
1.2,95.1
1.2,94.8
1.224,95.1
1.224,94.8
1.224,94.6
1.224,94.6
1.224,94.5
1.224,94.5
1.224,94
1.224,94.2
1.248,94.1
1.248,93.8
1.248,94
1.248,93.8
1.248,93.6
1.248,93.3
1.248,93.4
1.248,93.4
1.248,93.4
1.272,93.1
1.272,93
1.272,93
1.272,92.8
1.272,92.9
1.272,92.8
1.272,92.7
1.272,92.5
1.272,92.4
1.296,92.5
1.296,92.1
1.296,92.3
1.296,92.1
1.296,91.8
1.296,91.8
1.296,91.8
1.296,91.6
1.32,91.4
1.32,91.6
1.32,91.2
1.32,91.3
1.32,91.1
1.32,91
1.32,90.9
1.32,90.7
1.32,90.7
1.344,90.6
1.344,90.4
1.344,90.4
1.344,90.3
1.344,90.1
1.344,90
1.344,89.9
1.344,90.1
1.344,89.7
1.368,89.6
1.368,89.6
1.368,89.6
1.368,89.5
1.368,89.2
1.368,89.1
1.368,89.1
1.368,88.9
1.392,89
1.392,88.8
1.392,88.7
1.392,88.6
1.392,88.5
1.392,88.6
1.392,88.5
1.392,88.2
1.392,88.2
1.416,88
1.416,88
1.416,88
1.416,87.8
1.416,87.9
1.416,87.5
1.416,87.5
1.416,87.6
1.416,87.4
1.44,87.2
1.44,87.6
1.44,87.2
1.44,87.1
1.44,87.1
1.44,86.9
1.44,86.8
1.44,86.7
1.464,86.4
1.464,86.4
1.464,86.5
1.464,86.5
1.464,86.1
1.464,86
1.464,86.1
1.464,85.8
1.464,85.7
1.488,85.7
1.488,85.5
1.488,85.4
1.488,85.3
1.488,85.3
1.488,85.3
1.488,85
1.488,84.8
1.488,84.9
1.512,84.7
1.512,84.5
1.512,84.4
1.512,84.4
1.512,84.3
1.512,84.1
1.512,83.9
1.512,83.8
1.536,83.8
1.536,83.6
1.536,83.5
1.536,83.4
1.536,83.3
