time.hours,oxygen
0,241
0,239
0,240
0.024,239
0.024,239
0.024,239
0.024,237
0.024,236
0.024,237
0.024,236
0.024,237
0.024,236
0.048,235
0.048,235
0.048,234
0.048,234
0.048,235
0.048,235
0.048,234
0.048,233
0.072,234
0.072,233
0.072,232
0.072,233
0.072,233
0.072,233
0.072,232
0.072,232
0.072,232
0.096,231
0.096,231
0.096,232
0.096,231
0.096,232
0.096,231
0.096,231
0.096,232
0.096,231
0.12,231
0.12,230
0.12,232
0.12,230
0.12,231
0.12,230
0.12,229
0.12,230
0.144,229
0.144,230
0.144,229
0.144,230
0.144,229
0.144,229
0.144,230
0.144,230
0.144,230
0.168,229
0.168,229
0.168,229
0.168,228
0.168,229
0.168,228
0.168,229
0.168,229
0.168,228
0.192,229
0.192,229
0.192,229
0.192,228
0.192,229
0.192,228
0.192,228
0.192,228
0.216,228
0.216,229
0.216,228
0.216,228
0.216,227
0.216,226
0.216,228
0.216,227
0.216,227
0.24,227
0.24,226
0.24,227
0.24,226
0.24,227
0.24,226
0.24,227
0.24,227
0.24,226
0.264,225
0.264,226
0.264,226
0.264,225
0.264,226
0.264,225
0.264,225
0.264,226
0.288,225
0.288,225
0.288,226
0.288,225
0.288,225
0.288,225
0.288,226
0.288,224
0.288,225
0.312,224
0.312,225
0.312,225
0.312,225
0.312,224
0.312,225
0.312,225
0.312,225
0.312,225
0.336,226
0.336,225
0.336,226
0.336,224
0.336,225
0.336,226
0.336,225
0.336,225
0.36,225
0.36,224
0.36,224
0.36,225
0.36,225
0.36,225
0.36,225
0.36,225
0.36,224
0.384,225
0.384,225
0.384,224
0.384,225
0.384,225
0.384,225
0.384,226
0.384,225
0.384,226
0.408,226
0.408,226
0.408,225
0.408,225
0.408,225
0.408,225
0.408,225
0.408,225
0.432,225
0.432,225
0.432,226
0.432,225
0.432,225
0.432,225
0.432,226
0.432,226
0.432,225
0.456,226
0.456,226
0.456,226
0.456,224
0.456,225
0.456,225
0.456,225
0.456,226
0.48,225
0.48,225
0.48,225
0.48,226
0.48,226
0.48,225
0.48,225
0.48,225
0.48,225
0.504,226
0.504,225
0.504,226
0.504,225
0.504,225
0.504,225
0.504,225
0.504,226
0.504,226
0.528,226
0.528,225
0.528,225
0.528,227
0.528,225
0.528,226
0.528,226
0.528,227
0.552,226
0.552,226
0.552,227
0.552,226
0.552,226
0.552,226
0.552,228
0.552,227
0.552,227
0.576,227
0.576,227
0.576,227
0.576,227
0.576,227
0.576,227
0.576,227
0.576,227
0.576,227
0.6,227
0.6,227
0.6,227
0.6,226
0.6,226
0.6,228
0.6,228
0.6,227
0.624,227
0.624,227
0.624,228
0.624,227
0.624,228
0.624,228
0.624,228
0.624,228
0.624,227
0.648,228
0.648,228
0.648,227
0.648,227
0.648,228
0.648,228
0.648,229
0.648,227
0.672,227
0.672,228
0.672,228
0.672,228
0.672,227
0.672,229
0.672,228
0.672,228
0.672,228
0.696,228
0.696,229
0.696,228
0.696,229
0.696,228
0.696,229
0.696,228
0.696,229
0.696,228
0.72,228
0.72,228
0.72,229
0.72,229
0.72,228
0.72,229
0.72,228
0.72,229
0.744,228
0.744,229
0.744,229
0.744,229
0.744,229
0.744,229
0.744,228
0.744,229
0.744,229
0.768,229
0.768,230
0.768,229
0.768,229
0.768,229
0.768,229
0.768,229
0.768,229
0.768,229
0.792,229
0.792,229
0.792,229
0.792,230
0.792,230
0.792,230
0.792,229
0.792,230
0.816,229
0.816,229
0.816,230
0.816,229
0.816,230
0.816,229
0.816,230
0.816,230
0.816,229
0.84,229
0.84,230
0.84,230
0.84,230
0.84,230
0.84,229
0.84,229
0.84,230
0.84,230
0.864,230
0.864,230
0.864,231
0.864,230
0.864,230
0.864,230
0.864,231
0.864,231
0.888,230
0.888,230
0.888,231
0.888,230
0.888,229
0.888,230
0.888,230
0.888,230
0.888,230
0.912,230
0.912,230
0.912,231
0.912,230
0.912,231
0.912,232
0.912,231
0.912,230
0.912,230
0.936,231
0.936,230
0.936,232
0.936,231
0.936,230
0.936,230
0.936,231
0.936,231
0.96,231
0.96,231
0.96,231
0.96,230
0.96,230
0.96,231
0.96,231
0.96,231
0.96,230
0.984,231
0.984,231
0.984,231
0.984,231
0.984,232
0.984,231
0.984,231
0.984,231
1.008,232
1.008,231
1.008,231
1.008,232
1.008,232
1.008,231
1.008,231
1.008,232
1.008,231
1.032,232
1.032,231
1.032,232
1.032,232
1.032,233
1.032,232
1.032,231
1.032,231
1.032,231
1.056,231
1.056,231
1.056,231
1.056,232
1.056,232
1.056,232
1.056,232
1.056,232
1.08,232
1.08,231
1.08,232
1.08,232
1.08,232
1.08,233
1.08,232
1.08,232
1.08,232
1.104,232
1.104,232
1.104,232
1.104,233
1.104,232
1.104,233
1.104,232
1.104,232
1.104,231
1.128,232
1.128,232
1.128,232
