time.hours,oxygen
0,80.3
0,80.7
0,81.4
0,82.2
0,82
0,81.8
0,82.3
0,81.9
0.024,81.8
0.024,81.9
0.024,81.5
0.024,80.9
0.024,81.2
0.024,81.1
0.024,80.8
0.024,80.9
0.024,81
0.048,80.4
0.048,80.5
0.048,80.1
0.048,79.9
0.048,80
0.048,79.5
0.048,79.5
0.048,79.5
0.072,79.3
0.072,79.1
0.072,78.8
0.072,78.6
0.072,78.5
0.072,78.3
0.072,78.3
0.072,78.2
0.072,78.3
0.096,77.9
0.096,77.8
0.096,77.9
0.096,77.6
0.096,77.2
0.096,77.1
0.096,77
0.096,76.9
0.096,76.8
0.12,76.5
0.12,76.5
0.12,76.2
0.12,76.3
0.12,76.6
0.12,76.2
0.12,76.1
0.12,76
0.144,75.7
0.144,75.7
0.144,75.2
0.144,75.2
0.144,75.1
0.144,74.8
0.144,74.7
0.144,74.6
0.144,74.4
0.168,74.7
0.168,74.4
0.168,74.2
0.168,74
0.168,73.9
0.168,73.5
0.168,73.2
0.168,73.3
0.168,73.4
0.192,73
0.192,73.3
0.192,72.7
0.192,72.9
0.192,73
0.192,72.6
0.192,72.5
0.192,72.7
0.216,72.1
0.216,71.8
0.216,71.9
0.216,71.9
0.216,71.6
0.216,71.8
0.216,71.5
0.216,71.3
0.216,70.9
0.24,71.1
0.24,71
0.24,71.2
0.24,70.5
0.24,70.6
0.24,70.5
0.24,70.2
0.24,70
0.264,70.1
0.264,69.9
0.264,69.7
0.264,69.7
0.264,69.3
0.264,69.5
0.264,68.8
0.264,69.3
0.264,68.6
0.288,68.5
0.288,68.9
0.288,68.6
0.288,68.5
0.288,68.3
0.288,68
0.288,68.1
0.288,68
0.288,67.9
0.312,67.6
0.312,67.8
0.312,67.4
0.312,67.1
0.312,67.4
0.312,67.1
0.312,67.1
0.312,66.9
0.312,67
0.336,66.7
0.336,66.3
0.336,66.4
0.336,66.4
0.336,66
0.336,66.1
0.336,65.8
0.336,65.9
0.36,65.8
0.36,65.4
0.36,65.4
0.36,65.5
0.36,65
0.36,65
0.36,64.9
0.36,64.9
0.36,64.8
0.384,64.6
0.384,64.4
0.384,64.5
0.384,64.3
0.384,64.4
0.384,64.2
0.384,63.7
0.384,63.6
0.408,63.8
0.408,63.5
0.408,63.3
0.408,63.5
0.408,63.1
0.408,63.1
0.408,63.2
0.408,62.8
0.408,62.6
0.432,62.7
0.432,62.6
0.432,62.3
0.432,62.2
0.432,62.3
0.432,62.1
0.432,61.8
0.432,61.9
0.432,61.7
0.456,61.4
0.456,61.3
0.456,61.2
0.456,61.2
0.456,61.3
0.456,61.1
0.456,60.9
0.456,60.6
0.48,60.6
0.48,60.5
0.48,60.5
0.48,60.3
0.48,60.2
0.48,60.2
0.48,59.9
0.48,59.8
0.48,59.8
0.504,59.4
0.504,59.4
0.504,59.6
0.504,59.4
0.504,59.3
0.504,59.2
0.504,58.7
0.504,58.7
0.504,58.7
0.528,58.7
0.528,58.6
0.528,58.7
0.528,58.4
0.528,58.2
0.528,58.1
0.528,58
0.528,57.8
0.552,57.9
0.552,57.7
0.552,57.5
0.552,57.4
0.552,57.4
0.552,57.3
0.552,56.9
0.552,56.9
0.552,57
0.576,56.9
0.576,56.7
0.576,56.7
0.576,56.6
0.576,56.1
0.576,56.2
0.576,56
0.576,56.2
0.576,55.8
0.6,56
0.6,55.7
0.6,55.6
0.6,55.4
0.6,55.3
0.6,55.3
0.6,55.3
0.6,55.2
0.624,55
0.624,54.8
0.624,54.8
0.624,54.7
0.624,54.5
0.624,54.6
0.624,54.4
0.624,54.1
0.624,54
0.648,54.1
0.648,53.9
0.648,53.7
0.648,53.8
0.648,53.7
0.648,53.3
0.648,53.3
0.648,53.2
0.672,53.1
0.672,53
0.672,53.1
0.672,53
0.672,52.8
0.672,52.7
0.672,52.4
0.672,52.5
0.672,52.3
0.696,52.1
0.696,52.3
0.696,52
0.696,51.9
0.696,51.7
0.696,51.6
0.696,51.5
0.696,51.3
0.696,51.4
0.72,51.2
0.72,51.3
0.72,51
0.72,50.9
0.72,50.6
0.72,50.6
0.72,50.5
0.72,50.6
0.744,50.3
0.744,50.4
0.744,50.3
0.744,50
0.744,49.9
0.744,49.9
0.744,49.9
0.744,49.6
0.744,49.6
0.768,49.5
0.768,49.3
0.768,49.3
0.768,49.2
0.768,48.9
0.768,48.9
0.768,49
0.768,48.7
0.768,48.5
0.792,48.4
0.792,48.5
0.792,48.5
0.792,48.3
0.792,48.2
0.792,47.9
0.792,47.9
0.792,47.8
0.816,47.8
0.816,47.7
0.816,47.5
0.816,47.2
0.816,47.3
0.816,47.2
0.816,47.2
0.816,47
0.816,46.8
0.84,46.8
0.84,46.7
0.84,46.7
0.84,46.6
0.84,46.5
0.84,46.2
0.84,46.1
0.84,46
0.864,46
0.864,46.1
0.864,46.1
0.864,46
0.864,45.6
0.864,45.6
0.864,45.5
0.864,45.5
0.864,45.3
0.888,45.1
0.888,45
0.888,45.2
0.888,45
0.888,44.8
0.888,44.7
0.888,44.6
0.888,44.6
0.888,44.5
0.912,44.3
0.912,44.1
0.912,44.2
0.912,44
0.912,43.9
0.912,43.7
0.912,43.6
0.912,43.6
0.912,43.4
0.936,43.5
0.936,43.3
0.936,43.2
0.936,42.8
0.936,42.8
0.936,42.9
0.936,42.7
0.936,42.7
0.96,42.7
0.96,42.6
0.96,42.4
0.96,42.5
0.96,42.3
0.96,42.2
0.96,42.2
0.96,41.8
0.96,42
0.984,41.6
0.984,41.5
0.984,41.6
0.984,41.4
0.984,41.5
0.984,41.4
